OBR,universal_service_id|id,ABPLWO,EQUAL,OR
OBR,universal_service_id|id,ABPLWWO,EQUAL,OR
OBR,universal_service_id|id,ANGCW,EQUAL,OR
OBR,universal_service_id|id,CCTWOCQNCA,EQUAL,OR
OBR,universal_service_id|id,CCTWSTMOFN,EQUAL,OR
OBR,universal_service_id|id,CHABDPELWO,EQUAL,OR
OBR,universal_service_id|id,CHE,EQUAL,OR
OBR,universal_service_id|id,CHEABDC,EQUAL,OR
OBR,universal_service_id|id,CHEABDPEL,EQUAL,OR
OBR,universal_service_id|id,CHEABDPELC,EQUAL,OR
OBR,universal_service_id|id,CHEC,EQUAL,OR
OBR,universal_service_id|id,CHECREC,EQUAL,OR
OBR,universal_service_id|id,CHECT,EQUAL,OR
OBR,universal_service_id|id,CHECTR,EQUAL,OR
OBR,universal_service_id|id,CHECTR2,EQUAL,OR
OBR,universal_service_id|id,CHEH,EQUAL,OR
OBR,universal_service_id|id,CHEHR,EQUAL,OR
OBR,universal_service_id|id,CHEL,EQUAL,OR
OBR,universal_service_id|id,CHESTDIS,EQUAL,OR
OBR,universal_service_id|id,CHESTWANG,EQUAL,OR
OBR,universal_service_id|id,CHESTWANGC,EQUAL,OR
OBR,universal_service_id|id,CHESTWDIS,EQUAL,OR
OBR,universal_service_id|id,CHESTWPE,EQUAL,OR
OBR,universal_service_id|id,CHESUPRD,EQUAL,OR
OBR,universal_service_id|id,CHETUBECT,EQUAL,OR
OBR,universal_service_id|id,CHEW,EQUAL,OR
OBR,universal_service_id|id,CHEWHR,EQUAL,OR
OBR,universal_service_id|id,CHEWO,EQUAL,OR
OBR,universal_service_id|id,CHEWPE,EQUAL,OR
OBR,universal_service_id|id,CHTP,EQUAL,OR
OBR,universal_service_id|id,CHTUNTCT,EQUAL,OR
OBR,universal_service_id|id,CHW,EQUAL,OR
OBR,universal_service_id|id,CHWABDPELW,EQUAL,OR
OBR,universal_service_id|id,CHWABDWWO,EQUAL,OR
OBR,universal_service_id|id,CHWHR,EQUAL,OR
OBR,universal_service_id|id,CHWNI,EQUAL,OR
OBR,universal_service_id|id,CHWO,EQUAL,OR
OBR,universal_service_id|id,CHWOHR,EQUAL,OR
OBR,universal_service_id|id,CHWOLS,EQUAL,OR
OBR,universal_service_id|id,CHWOSCLC,EQUAL,OR
OBR,universal_service_id|id,CHWWABDWW,EQUAL,OR
OBR,universal_service_id|id,CHWWO,EQUAL,OR
OBR,universal_service_id|id,CTAA,EQUAL,OR
OBR,universal_service_id|id,CTAABDPEL,EQUAL,OR
OBR,universal_service_id|id,CTAABDW,EQUAL,OR
OBR,universal_service_id|id,CTABDSTONE,EQUAL,OR
OBR,universal_service_id|id,CTABDW,EQUAL,OR
OBR,universal_service_id|id,CTABDWO,EQUAL,OR
OBR,universal_service_id|id,CTABDWW,EQUAL,OR
OBR,universal_service_id|id,CTABPEW,EQUAL,OR
OBR,universal_service_id|id,CTABPEWO,EQUAL,OR
OBR,universal_service_id|id,CTABPLW,EQUAL,OR
OBR,universal_service_id|id,CTABPLWO,EQUAL,OR
OBR,universal_service_id|id,CTABPLWW,EQUAL,OR
OBR,universal_service_id|id,CTABPLWWO,EQUAL,OR
OBR,universal_service_id|id,CTAC,EQUAL,OR
OBR,universal_service_id|id,CTACHEW,EQUAL,OR
OBR,universal_service_id|id,CTACPE,EQUAL,OR
OBR,universal_service_id|id,CTACRNRY,EQUAL,OR
OBR,universal_service_id|id,CTARTGRAFT,EQUAL,OR
OBR,universal_service_id|id,CTCHEHR,EQUAL,OR
OBR,universal_service_id|id,CTCHEW,EQUAL,OR
OBR,universal_service_id|id,CTCHEWO,EQUAL,OR
OBR,universal_service_id|id,CTCHEWW,EQUAL,OR
OBR,universal_service_id|id,CTCHTUTUW,EQUAL,OR
OBR,universal_service_id|id,CTENTEROA,EQUAL,OR
OBR,universal_service_id|id,CTHARTGRA,EQUAL,OR
OBR,universal_service_id|id,CTHEARTC,EQUAL,OR
OBR,universal_service_id|id,CTHEARTCDR,EQUAL,OR
OBR,universal_service_id|id,CTHEARTGRC,EQUAL,OR
OBR,universal_service_id|id,CTHEARTGRR,EQUAL,OR
OBR,universal_service_id|id,CTHEARTR,EQUAL,OR
OBR,universal_service_id|id,CTHRTWCFNC,EQUAL,OR
OBR,universal_service_id|id,CTHRTWCGRT,EQUAL,OR
OBR,universal_service_id|id,CTHRTWCON,EQUAL,OR
OBR,universal_service_id|id,CTHRTWOCQC,EQUAL,OR
OBR,universal_service_id|id,CTHWSTMOFC,EQUAL,OR
OBR,universal_service_id|id,CTHWSTMOFR,EQUAL,OR
OBR,universal_service_id|id,CTTHOR,EQUAL,OR
OBR,universal_service_id|id,CWAW,EQUAL,OR
OBR,universal_service_id|id,CWAWPW,EQUAL,OR
OBR,universal_service_id|id,CWAWWOPW,EQUAL,OR
OBR,universal_service_id|id,CWOAWO,EQUAL,OR
